close,datetime,high,low,open,timestamp,volume
6979.5,2018/3/31 8:00,7105,6820,6820,1.52245E+12,491549213
6819,2018/3/31 12:00,7046,6788,6979.5,1.52247E+12,449481544
7079,2018/3/31 16:00,7150,6819.5,6819,1.52248E+12,598963633
7036.5,2018/3/31 20:00,7222,6974,7079,1.5225E+12,567819148
7058.5,2018/4/1 0:00,7161,6976.5,7036.5,1.52251E+12,489562355
6920.5,2018/4/1 4:00,7060,6802,7058.5,1.52253E+12,467539728
6921.5,2018/4/1 8:00,7053,6891,6920.5,1.52254E+12,347640470
6703,2018/4/1 12:00,6962,6659,6921.5,1.52256E+12,455998819
6694.5,2018/4/1 16:00,6747.5,6610.5,6703,1.52257E+12,478499653
6422.5,2018/4/1 20:00,6745,6404.5,6694.5,1.52258E+12,695240876
6920.5,2018/4/2 0:00,6980,6418.5,6422.5,1.5226E+12,755341005
6817,2018/4/2 4:00,6971,6762,6920.5,1.52261E+12,387742821
6982.5,2018/4/2 8:00,7059,6766,6817,1.52263E+12,372499454
7035,2018/4/2 12:00,7100,6837,6982.5,1.52264E+12,375933136
7037,2018/4/2 16:00,7123,7009,7035,1.52266E+12,413060812
7028.5,2018/4/2 20:00,7078.5,6877.5,7037,1.52267E+12,523314692
6985,2018/4/3 0:00,7070,6941,7028.5,1.52268E+12,340669320
7046.5,2018/4/3 4:00,7084.5,6891,6985,1.5227E+12,370945330
7167,2018/4/3 8:00,7197,7006.5,7046.5,1.52271E+12,381745108
7389,2018/4/3 12:00,7463.5,7168,7167,1.52273E+12,620550583
7307,2018/4/3 16:00,7392,7266,7389,1.52274E+12,412018555
7387.5,2018/4/3 20:00,7450,7271,7307,1.52276E+12,479811992
7461.5,2018/4/4 0:00,7518,7360,7387.5,1.52277E+12,486992296
7408.5,2018/4/4 4:00,7490.5,7361,7461.5,1.52279E+12,348951925
7303.5,2018/4/4 8:00,7420,7271,7408.5,1.5228E+12,408242283
7313.5,2018/4/4 12:00,7388,7281,7303.5,1.52281E+12,328504553
7074,2018/4/4 16:00,7344,7008,7313.5,1.52283E+12,738853538
6780.5,2018/4/4 20:00,7104.5,6726,7074,1.52284E+12,715953695
6857,2018/4/5 0:00,6915,6712.5,6780.5,1.52286E+12,667835624
6779,2018/4/5 4:00,6912,6686.5,6857,1.52287E+12,511940919
6754.5,2018/4/5 8:00,6813.5,6555,6779,1.52289E+12,628751197
6788,2018/4/5 12:00,6849,6702.5,6754.5,1.5229E+12,562814923
6784,2018/4/5 16:00,6897.5,6748,6788,1.52292E+12,490318071
6738,2018/4/5 20:00,6935,6614,6784,1.52293E+12,782478351
6769,2018/4/6 0:00,6825,6655,6738,1.52294E+12,498099205
6769.5,2018/4/6 4:00,6839,6671,6769,1.52296E+12,320827500
6768.5,2018/4/6 8:00,6875,6715,6769.5,1.52297E+12,338609445
6617.5,2018/4/6 12:00,6850,6502,6768.5,1.52299E+12,617168755
6609,2018/4/6 16:00,6665,6479.5,6617.5,1.523E+12,462012106
6588.5,2018/4/6 20:00,6636,6540,6609,1.52302E+12,322844529
6628.5,2018/4/7 0:00,6635,6580,6588.5,1.52303E+12,240622220
6612,2018/4/7 4:00,6630,6510.5,6628.5,1.52304E+12,275442428
6858.5,2018/4/7 8:00,6923.5,6608,6612,1.52306E+12,415677873
6857,2018/4/7 12:00,6884.5,6825,6858.5,1.52307E+12,231398672
6862,2018/4/7 16:00,6918,6835.5,6857,1.52309E+12,309010270
6987,2018/4/7 20:00,7030,6774,6862,1.5231E+12,415673263
6996.5,2018/4/8 0:00,7058.5,6968,6987,1.52312E+12,328331795
6900.5,2018/4/8 4:00,7007.5,6860,6996.5,1.52313E+12,235477534
6964,2018/4/8 8:00,7025,6897,6900.5,1.52315E+12,242064565
6942,2018/4/8 12:00,7000,6885,6964,1.52316E+12,237385954
7126.5,2018/4/8 16:00,7137,6933,6942,1.52317E+12,258384040
7037,2018/4/8 20:00,7130,7023.5,7126.5,1.52319E+12,323987127
6988,2018/4/9 0:00,7040,6953.5,7037,1.5232E+12,347078639
7014,2018/4/9 4:00,7046,6955.5,6988,1.52322E+12,193330246
7124,2018/4/9 8:00,7157.5,7014,7014,1.52323E+12,497345387
7118.5,2018/4/9 12:00,7142.5,7083.5,7124,1.52325E+12,256159629
6724,2018/4/9 16:00,7177.5,6657,7118.5,1.52326E+12,898698099
6716.5,2018/4/9 20:00,6779,6676,6724,1.52328E+12,479154731
6664,2018/4/10 0:00,6749,6606,6716.5,1.52329E+12,281111875
6763,2018/4/10 4:00,6823,6600,6664,1.5233E+12,360304199
6782,2018/4/10 8:00,6790,6700,6763,1.52332E+12,239760088
6723,2018/4/10 12:00,6790,6680,6782,1.52333E+12,308539434
6741.5,2018/4/10 16:00,6775,6620,6723,1.52335E+12,364003341
6814.5,2018/4/10 20:00,6880,6720,6741.5,1.52336E+12,341130942
6844.5,2018/4/11 0:00,6869,6802.5,6814.5,1.52338E+12,226974107
6824,2018/4/11 4:00,6888,6756,6844.5,1.52339E+12,284967670
6832,2018/4/11 8:00,6850,6815,6824,1.5234E+12,149951582
6838,2018/4/11 12:00,6872,6802,6832,1.52342E+12,219259227
6858.5,2018/4/11 16:00,6865,6803,6838,1.52343E+12,263748490
6934,2018/4/11 20:00,6949,6840,6858.5,1.52345E+12,403375376
6914.5,2018/4/12 0:00,6934,6880,6934,1.52346E+12,197232462
6933.5,2018/4/12 4:00,6959,6883,6914.5,1.52348E+12,194573890
6930,2018/4/12 8:00,6947,6888,6933.5,1.52349E+12,234559163
6822.5,2018/4/12 12:00,6950,6688,6930,1.52351E+12,443851589
7780,2018/4/12 16:00,8149,6812.5,6822.5,1.52352E+12,880800395
7634.5,2018/4/12 20:00,7830.5,7600.5,7780,1.52353E+12,796561143
7684,2018/4/13 0:00,7810,7570,7634.5,1.52355E+12,475086876
7904.5,2018/4/13 4:00,8070,7679,7684,1.52356E+12,533283544
7822.5,2018/4/13 8:00,8006,7754,7904.5,1.52358E+12,523292399
8093,2018/4/13 12:00,8222.5,7762,7822.5,1.52359E+12,555563602
